VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000110001,臺中市,大甲區,朝陽里,Zhaoyang Vil.,B,66000,B11,66000110,48,573,1745,579,1961,臺中市大甲區朝陽里,470,384448,818,575,343,973,-0.110148,877.2,107.24,0.0862
66000110002,臺中市,大甲區,大甲里,Dajia Vil.,B,66000,B11,66000110,46,454,1255,483,1610,臺中市大甲區大甲里,379,358765,947,553,309,1073,-0.220497,1880.26,198.63,0.0949
66000110003,臺中市,大甲區,順天里,Shuntian Vil.,B,66000,B11,66000110,52,646,1838,613,2031,臺中市大甲區順天里,492,396070,805,524,304,969,-0.095027,940.59,116.84,0.0787
66000110004,臺中市,大甲區,孔門里,Kongmen Vil.,B,66000,B11,66000110,31,383,1001,291,1119,臺中市大甲區孔門里,233,477910,2051,570,352,1082,-0.105451,10473.19,510.61,0.1256
66000110005,臺中市,大甲區,平安里,Ping'an Vil.,B,66000,B11,66000110,39,785,2642,768,3030,臺中市大甲區平安里,686,555674,810,571,354,1004,-0.128053,801.9,99,0.0761
66000110006,臺中市,大甲區,庄美里,Zhuangmei Vil.,B,66000,B11,66000110,46,769,2512,729,2776,臺中市大甲區庄美里,729,665345,913,548,329,993,-0.095101,1472.63,161.35,0.0572
66000110007,臺中市,大甲區,新美里,Xinmei Vil.,B,66000,B11,66000110,97,1320,4191,1245,4376,臺中市大甲區新美里,1055,809825,768,546,343,917,-0.042276,754.67,98.31,0.0758
66000110008,臺中市,大甲區,岷山里,Minshan Vil.,B,66000,B11,66000110,62,792,2566,745,2686,臺中市大甲區岷山里,676,548627,812,559,336,961,-0.044676,1042.38,128.44,0.0906
66000110009,臺中市,大甲區,中山里,Zhongshan Vil.,B,66000,B11,66000110,74,1781,5252,1494,4860,臺中市大甲區中山里,1326,1021697,771,567,340,956,0.080658,877.1,113.83,0.0879
66000110010,臺中市,大甲區,南陽里,Nanyang Vil.,B,66000,B11,66000110,56,348,962,337,1063,臺中市大甲區南陽里,227,169419,746,489,314,884,-0.095014,762.89,102.22,0.1453
